sim gen PatchID NewPatchID ID Age AgeRecruit BreedPerf Disp DispProba FailInterc SucInterc FailSlope SucSlope NbProspPatch
0 0 0 0 1 6 5 1 0 0 0.875845 0.0914109 -9999 -9999 23
0 0 0 22 2 14 1 1 1 0.757863 0.932601 0.757863 -9999 -9999 9
0 0 0 0 3 10 5 1 0 0 0.167668 0.715598 -9999 -9999 15
0 0 0 0 5 10 6 1 0 0 0.305989 0.624155 -9999 -9999 20
0 0 0 0 6 9 6 1 0 0 0.815617 0.393903 -9999 -9999 21
0 0 0 0 7 3 3 0 0 0 0.581292 0.177753 -9999 -9999 8
0 0 0 0 10 8 1 1 0 0 0.239465 0.178892 -9999 -9999 13
0 0 0 17 11 9 7 0 1 0.214817 0.214817 0.685255 -9999 -9999 1
0 0 0 17 12 3 2 0 1 0.868629 0.868629 0.982883 -9999 -9999 15
0 0 0 15 13 9 1 1 1 0.856055 0.0598193 0.856055 -9999 -9999 1
0 0 0 0 16 14 8 1 0 0 0.81642 0.667766 -9999 -9999 11
0 0 0 0 17 11 4 1 0 0 0.726036 0.568712 -9999 -9999 9
0 0 0 14 20 15 3 0 1 0.898036 0.898036 0.788615 -9999 -9999 11
0 0 0 14 22 10 6 1 1 0.669365 0.465535 0.669365 -9999 -9999 12
0 0 0 17 23 14 4 1 1 0.356238 0.945481 0.356238 -9999 -9999 11
0 0 0 0 25 11 5 1 0 0 0.111783 0.707276 -9999 -9999 21
0 0 0 0 27 12 4 0 0 0 0.026295 0.58556 -9999 -9999 20
0 0 0 0 28 10 6 1 0 0 0.886895 0.317467 -9999 -9999 24
0 0 0 14 29 15 7 1 1 0.869006 0.0304355 0.869006 -9999 -9999 13
0 0 0 0 30 9 7 1 0 0 0.541438 0.447975 -9999 -9999 19
0 0 0 0 31 13 7 0 0 0 0.0837476 0.40509 -9999 -9999 16
0 0 0 0 32 10 8 1 0 0 0.594983 0.0201455 -9999 -9999 1
0 0 0 14 33 9 6 0 1 0.798957 0.798957 0.557875 -9999 -9999 20
0 0 0 0 34 9 6 1 0 0 0.823363 0.348328 -9999 -9999 11
0 0 0 14 35 5 3 1 1 0.416597 0.252885 0.416597 -9999 -9999 6
0 0 0 0 37 5 3 1 0 0 0.0185425 0.30742 -9999 -9999 14
0 0 0 0 38 12 5 1 0 0 0.834715 0.215283 -9999 -9999 3
0 0 0 0 39 9 5 1 0 0 0.306162 0.369552 -9999 -9999 3
0 0 0 23 43 14 3 0 1 0.910081 0.910081 0.137714 -9999 -9999 5
0 0 0 17 45 10 6 0 1 0.662071 0.662071 0.787831 -9999 -9999 13
0 0 0 0 48 10 4 1 0 0 0.435947 0.480958 -9999 -9999 15
0 0 0 22 49 12 5 1 1 0.607596 0.202836 0.607596 -9999 -9999 4
0 0 0 18 50 2 1 1 1 0.441485 0.789478 0.441485 -9999 -9999 20
0 0 0 14 51 12 5 1 1 0.477633 0.917465 0.477633 -9999 -9999 6
0 0 0 14 54 9 1 1 1 0.932057 0.010397 0.932057 -9999 -9999 19
0 0 0 0 55 4 3 1 0 0 0.26572 0.40514 -9999 -9999 13
0 0 0 23 57 10 1 1 1 0.629356 0.052577 0.629356 -9999 -9999 2
0 0 0 0 59 5 4 1 0 0 0.520687 0.580899 -9999 -9999 17
0 0 0 17 65 15 5 1 1 0.359727 0.766522 0.359727 -9999 -9999 19
0 0 0 0 68 12 7 1 0 0 0.414027 0.0545846 -9999 -9999 17
0 0 0 5 69 13 6 1 1 0.643816 0.118104 0.643816 -9999 -9999 2
0 0 0 0 70 6 1 0 0 0 0.403286 0.0185991 -9999 -9999 6
0 0 0 0 75 11 3 1 0 0 0.280472 0.335429 -9999 -9999 17
0 0 0 0 76 9 5 0 0 0 0.00890874 0.0259802 -9999 -9999 10
0 0 0 22 79 7 3 1 1 0.531384 0.341105 0.531384 -9999 -9999 13
0 0 0 0 81 8 4 1 0 0 0.880858 0.359933 -9999 -9999 4
0 0 0 18 82 14 3 0 1 0.563725 0.563725 0.139401 -9999 -9999 9
0 0 0 14 83 11 2 1 1 0.971723 0.156015 0.971723 -9999 -9999 18
0 0 0 0 87 10 2 1 0 0 0.93374 0.380055 -9999 -9999 7
0 0 0 0 88 5 2 1 0 0 0.486454 0.41699 -9999 -9999 3
0 0 0 2 92 7 4 1 1 0.655615 0.903289 0.655615 -9999 -9999 4
0 0 0 17 93 9 7 1 1 0.817731 0.764807 0.817731 -9999 -9999 14
0 0 0 14 94 10 3 0 1 0.741286 0.741286 0.985321 -9999 -9999 20
0 0 0 0 96 12 4 1 0 0 0.494781 0.694832 -9999 -9999 0
0 0 0 0 97 8 5 1 0 0 0.644672 0.0996078 -9999 -9999 15
0 0 0 0 99 4 4 0 0 0 0.0280967 0.507514 -9999 -9999 8
0 0 1 1 101 16 2 1 0 0 0.892208 0.38023 -9999 -9999 21
0 0 1 24 102 13 7 1 1 0.783169 0.378652 0.783169 -9999 -9999 0
0 0 1 1 103 7 6 1 0 0 0.918553 0.106348 -9999 -9999 12
0 0 1 14 104 11 5 1 1 0.922171 0.306152 0.922171 -9999 -9999 11
0 0 1 17 106 12 3 0 1 0.82698 0.82698 0.801706 -9999 -9999 7
0 0 1 1 107 12 4 1 0 0 0.932029 0.426131 -9999 -9999 12
0 0 1 1 108 6 6 0 0 0 0.0670382 0.77641 -9999 -9999 3
0 0 1 1 109 13 3 0 0 0 0.726265 0.302477 -9999 -9999 20
0 0 1 1 111 15 6 0 0 0 0.641211 0.318981 -9999 -9999 12
0 0 1 14 112 16 5 0 1 0.481533 0.481533 0.290001 -9999 -9999 1
0 0 1 14 113 10 2 0 1 0.586684 0.586684 0.823681 -9999 -9999 17
0 0 1 14 115 16 9 0 1 0.878277 0.878277 0.929932 -9999 -9999 9
0 0 1 1 116 13 2 0 0 0 0.540153 0.0262241 -9999 -9999 3
0 0 1 1 118 4 2 0 0 0 0.0486949 0.834813 -9999 -9999 16
0 0 1 1 120 15 7 1 0 0 0.356892 0.15069 -9999 -9999 21
0 0 1 17 122 15 3 1 1 0.786048 0.900239 0.786048 -9999 -9999 24
0 0 1 2 123 15 4 0 1 0.637507 0.637507 0.988516 -9999 -9999 1
0 0 1 1 124 9 5 0 0 0 0.17278 0.857786 -9999 -9999 13
0 0 1 15 128 5 4 0 1 0.826176 0.826176 0.84601 -9999 -9999 16
0 0 1 1 130 10 2 0 0 0 0.560384 0.532817 -9999 -9999 0
0 0 1 1 132 6 2 1 0 0 0.96885 0.563119 -9999 -9999 11
0 0 1 1 133 9 5 1 0 0 0.122045 0.496832 -9999 -9999 20
0 0 1 17 134 7 2 1 1 0.813245 0.812391 0.813245 -9999 -9999 22
0 0 1 17 135 9 7 1 1 0.749599 0.667619 0.749599 -9999 -9999 20
0 0 1 22 136 13 3 1 1 0.482062 0.346437 0.482062 -9999 -9999 18
0 0 1 1 137 11 6 1 0 0 0.250947 0.175594 -9999 -9999 20
0 0 1 1 138 14 8 1 0 0 0.59115 0.260316 -9999 -9999 7
0 0 1 18 140 6 2 0 1 0.703268 0.703268 0.0551314 -9999 -9999 11
0 0 1 1 141 11 3 0 0 0 0.264581 0.595441 -9999 -9999 13
