sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 0 0 -0.0899705 91.003 0.630137 1.10977 73 27 46 27 73 66 17 49 12 61 56 
0 0 1 0.455635 145.563 0.75 1.29067 80 20 60 20 93 84 16 68 24 92 63 
0 0 2 -0.0819241 91.8076 0.694444 1.12092 72 28 50 22 81 63 11 52 22 74 67 
0 0 3 1.0395 203.95 0.828947 1.45705 76 24 63 13 129 72 10 62 32 94 77 
0 0 4 0.0140046 101.4 0.686567 1.20428 67 33 46 21 86 60 12 48 28 76 67 
0 0 5 -1.07865 0 0 0 71 29 0 71 0 65 35 30 0 30 17 
0 0 6 0.380865 138.086 0.693333 1.29606 75 25 52 23 98 72 16 56 28 84 68 
0 0 7 0.191629 119.163 0.684211 1.22116 76 24 52 24 98 74 18 56 17 73 72 
0 0 8 0.526285 152.629 0.824324 1.34695 74 26 61 13 113 70 12 58 21 79 83 
0 0 9 -0.860601 13.9399 0.21519 0.299977 79 21 17 62 19 73 25 48 10 58 24 
0 0 10 -0.974083 2.59172 0.0405405 0.0676763 74 26 3 71 3 65 34 31 2 33 16 
0 0 11 0.304629 130.463 0.753846 1.33491 65 35 49 16 102 69 14 55 20 75 86 
0 0 12 -0.835449 16.4551 0.191781 0.367897 73 27 14 59 17 75 39 36 1 37 17 
0 0 13 -0.176291 82.3708 0.662162 1.05353 74 26 49 25 77 67 14 53 20 73 58 
0 0 14 0.448761 144.876 0.688312 1.30592 77 23 53 24 89 65 14 51 25 76 58 
0 0 15 0.0624738 106.247 0.608108 1.17891 74 26 45 29 66 63 13 50 16 66 57 
0 0 16 0.252495 125.249 0.723077 1.31669 65 35 47 18 79 68 16 52 20 72 70 
0 0 17 0.317681 131.768 0.753425 1.287 73 27 55 18 96 70 19 51 29 80 62 
0 0 18 1.01244 201.244 0.75641 1.44135 78 22 59 19 109 75 17 58 23 81 80 
0 0 19 0.402048 140.205 0.606061 1.35986 66 34 40 26 72 62 17 45 19 64 60 
0 0 20 0.0952441 109.524 0.760563 1.2134 71 29 54 17 97 63 11 52 15 67 74 
0 0 21 1.14128 214.128 0.847222 1.49673 72 28 61 11 112 67 6 61 21 82 84 
